Rk,Player,PTS,Date,Age,Team,Unnamed: 6,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS.1,GmSc,BPM,+/-,Pos.,Player-additional
1,Stephen Curry,62,2021-01-03,32-295,GSW,,POR,W 137-122,*,36,18,31,0.581,10,15,0.667,8,16,0.5,18,19,0.947,0.788,1,4,5,4,0,0,5,0,62,46.8,18.6,20,G,curryst01
2,Stephen Curry,60,2024-02-03,35-326,GSW,@,ATL,L 134-141 (OT),*,41,22,38,0.579,12,15,0.8,10,23,0.435,6,6,1.0,0.738,1,5,6,4,0,1,2,1,60,45.5,22.4,-1,G,curryst01
3,Stephen Curry,57,2021-02-06,32-329,GSW,@,DAL,L 132-134,*,37,19,31,0.613,8,12,0.667,11,19,0.579,8,8,1.0,0.826,0,2,2,5,1,0,3,3,57,43.8,18.3,7,G,curryst01
4,Stephen Curry,54,2013-02-27,24-350,GSW,@,NYK,L 105-109,*,48,18,28,0.643,7,15,0.467,11,13,0.846,7,7,1.0,0.869,0,6,6,7,3,0,4,3,54,46.1,23.0,-4,G,curryst01
5,Stephen Curry,53,2015-10-31,27-231,GSW,@,NOP,W 134-120,*,36,17,27,0.63,9,13,0.692,8,14,0.571,11,11,1.0,0.832,0,4,4,9,4,0,2,3,53,49.2,27.8,16,G,curryst01
6,Stephen Curry,53,2021-04-12,33-029,GSW,,DEN,W 116-107,*,36,14,24,0.583,4,6,0.667,10,18,0.556,15,16,0.938,0.854,0,6,6,4,0,0,5,3,53,39.8,20.9,16,G,curryst01
7,Stephen Curry,51,2015-02-04,26-327,GSW,,DAL,W 128-114,*,37,16,26,0.615,6,10,0.6,10,16,0.625,9,11,0.818,0.827,0,4,4,4,1,0,3,3,51,39.2,19.5,0,G,curryst01
8,Stephen Curry,51,2016-02-03,27-326,GSW,@,WAS,W 134-121,*,36,19,28,0.679,8,13,0.615,11,15,0.733,2,3,0.667,0.87,1,6,7,2,3,0,7,3,51,37.3,17.6,20,G,curryst01
9,Stephen Curry,51,2016-02-25,27-348,GSW,@,ORL,W 130-114,*,34,20,27,0.741,10,12,0.833,10,15,0.667,1,1,1.0,0.929,0,7,7,8,0,1,5,1,51,43.1,24.9,11,G,curryst01
10,Stephen Curry,51,2018-10-24,30-224,GSW,,WAS,W 144-122,*,32,15,24,0.625,4,8,0.5,11,16,0.688,10,10,1.0,0.898,0,4,4,3,0,1,2,1,51,41.8,23.0,19,G,curryst01
11,Stephen Curry,50,2021-11-08,33-239,GSW,,ATL,W 127-113,*,35,14,28,0.5,5,9,0.556,9,19,0.474,13,13,1.0,0.741,2,5,7,10,4,1,2,0,50,48.6,32.0,31,G,curryst01
12,Stephen Curry,50,2022-11-16,34-247,GSW,@,PHO,L 119-130,*,36,17,28,0.607,10,17,0.588,7,11,0.636,9,9,1.0,0.782,0,9,9,6,0,1,3,2,50,41.0,20.7,-14,G,curryst01
13,Stephen Curry,50,2023-03-15,35-001,GSW,@,LAC,L 126-134,*,39,20,28,0.714,12,14,0.857,8,14,0.571,2,4,0.5,0.84,0,2,2,6,2,0,2,1,50,42.0,22.6,-11,G,curryst01
14,Stephen Curry,49,2018-01-27,29-319,GSW,,BOS,W 109-105,*,37,16,24,0.667,8,11,0.727,8,13,0.615,9,10,0.9,0.863,0,4,4,5,2,0,1,2,49,43.1,30.7,6,G,curryst01
15,Stephen Curry,49,2021-04-19,33-036,GSW,@,PHI,W 107-96,*,37,14,28,0.5,4,11,0.364,10,17,0.588,11,12,0.917,0.736,0,3,3,5,0,0,6,2,49,32.2,19.1,11,G,curryst01
16,Stephen Curry,49,2021-05-08,33-055,GSW,,OKC,W 136-97,*,29,14,26,0.538,3,5,0.6,11,21,0.524,10,10,1.0,0.806,0,5,5,2,1,0,1,2,49,38.5,18.4,31,G,curryst01
17,Stephen Curry,48,2019-01-13,30-305,GSW,@,DAL,W 119-114,*,37,17,32,0.531,6,13,0.462,11,19,0.579,3,3,1.0,0.72,3,3,6,5,1,2,0,5,48,39.3,26.6,9,G,curryst01
18,Stephen Curry,47,2013-04-12,25-029,GSW,@,LAL,L 116-118,*,44,17,31,0.548,8,16,0.5,9,15,0.6,4,4,1.0,0.717,3,3,6,9,3,0,1,3,47,42.2,24.4,3,G,curryst01
19,Stephen Curry,47,2014-04-13,26-030,GSW,@,POR,L 117-119 (OT),*,45,16,29,0.552,9,15,0.6,7,14,0.5,8,8,1.0,0.723,1,0,1,5,4,0,4,3,47,36.1,16.7,6,G,curryst01
20,Stephen Curry,47,2021-04-17,33-034,GSW,@,BOS,L 114-119,*,37,15,27,0.556,4,8,0.5,11,19,0.579,6,8,0.75,0.77,0,7,7,3,0,0,5,2,47,31.7,13.7,-7,G,curryst01
21,Stephen Curry,47,2022-03-14,34-000,GSW,,WAS,W 126-112,*,35,16,25,0.64,9,11,0.818,7,14,0.5,8,8,1.0,0.824,0,6,6,6,1,0,2,1,47,40.5,20.9,17,G,curryst01
22,Stephen Curry,47,2022-11-07,34-238,GSW,,SAC,W 116-113,*,38,17,24,0.708,10,12,0.833,7,12,0.583,6,7,0.857,0.868,0,8,8,8,0,0,0,2,47,43.8,26.9,20,G,curryst01
